Team Runs League
Rockies 10.4 National
Phillies 10.3 National
Cincinnati 10 National
Diamondbacks 10 National
Braves 9.7 National
Dodgers 9.7 National
Cubs 9.6 National
Giants 9.5 National
Nationals 9.5 National
Brewers 9.4 National
Pirates 9.1 National
Marlins 9 National
Cardinals 9 National
Astros 8.9 National
Mets 8.9 National
Padres 7.9 National
Royals 11.4 American
WhiteSox 10.6 American
Rangers 10.4 American
RedSox 10.3 American
Orioles 10.2 American
BlueJays 10 American
Yankees 9.9 American
Indians 9.9 American
DevilRays 9.7 American
Tigers 9.1 American
Twins 9 American
Mariners 9 American
Athletics 8.9 American
Angels 8.8 American
