Year Rainfall
1951 20.66
1952 16.72
1953 13.51
1954 14.1
1955 25.37
1956 12.05
1957 28.74
1958 10.98
1959 12.55
1960 12.75
1961 14.99
1962 27.1
1963 11.2
1964 18.56
1965 11.49
1966 27.64
1967 11.49
1968 24.67
1969 17.04
1970 16.34
1971 8.6
1972 27.69
1973 20.87
1974 16.88
1975 6.14
1976 7.69
1977 27.69
1978 17.25
1979 25.06
1980 12.03
1981 31.29
1982 37.42
1983 16.67
1984 15.74
1985 27.47
1986 10.81
1987 16.3
1988 11.38
1989 15.79
1990 13.84
1991 17.46
1992 29.84
1993 11.86
1994 31.22
1995 24.5
1996 19.52
1997 29.69
